Título,Sku,Precio original,Precio Descuento,Precio Envío,Stock
"Mouse Gamer Ocelot Gaming Óptico Techno Black, Alámbrico, USB, 7200DPI, Negro",OCM TECHNO BLACK,$279.00,$156.00,$99.00,i
"SSD Gigabyte GP-GSTFS31240GNTD, 240GB, SATA III, 2.5'', 7mm",GP-GSTFS31240GNTD,$513.00,$334.00,$99.00,i
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Blanco",910-005941,"$2,721.00","$1,929.00",$99.00,i
"Teclado Gamer Ocelot Gaming OGEK03 RGB, Alámbrico, Negro (Español)",OGEK03,$319.00,$194.00,$99.00,i
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,256.00",$719.00,$99.00,i
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$683.00,$509.00,$99.00,i
"Teclado Gamer Ocelot Gaming OK-M60 RGB 60%, Alámbrico, Negro (Español)",OK-M60,$349.00,$218.00,$99.00,i
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,$910.00,$569.00,$99.00,i
"Monitor LG DualUp Ergo LED 27.6"", Quad HD, Ultra Tall, 60Hz,  HDMI, Bocinas Integradas (2 x 7W), Negro",28MQ780-B,"$15,176.00","$9,279.00",$179.00,i
"Mouse Logitech Óptico M185, Inalámbrico, USB, 1000DPI, Azul",910-002236,$259.00,$127.00,$99.00,i
"ASUS Webcam C3, Full HD1920 x 1080 Pixeles, Inclinación 90°, USB 2.0, Negro, Compatible con Skype/Microsoft Teams/Zoom",90YH0340-B2UA00,$921.00,$589.00,$99.00,i
"SSD XPG SPECTRIX S20G, 500GB, PCI Express 3.0, M.2",ASPECTRIXS20G-500G-C,$559.00,$409.00,$99.00,i
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,311.00","$1,569.00",$99.00,i
"Logitech Volante G920 Racing Wheel, Alámbrico, USB 2.0, para PC/Xbox One",941-000123,"$5,298.00","$3,509.00",$144.00,i
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,205.00",$649.00,$99.00,i
"Mouse Gamer Logitech Óptico G203 LightSync, Alámbrico, USB, 8000DPI, Azul",910-005795,$501.00,$371.00,$99.00,i
"SSD Western Digital WD Blue SA510, 500GB, SATA III, 2.5"", 7mm",WDS500G3B0A,$954.00,$639.00,$99.00,i
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$888.00,$689.00,$99.00,i
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,332.00",$929.00,$99.00,i
"Memoria RAM XPG GAMMIX DDR4, 3200MHZ, 8GB, Non-ECC, CL16, XMP, Rojo",AX4U32008G16A-SR10,$475.00,$355.00,$99.00,i
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,972.00","$2,259.00",$99.00,i
"SSD XPG GAMMIX S70 BLADE NVMe, 4TB, PCI Express 4.0, M.2",AGAMMIXS70B-4T-CS,"$5,857.00","$3,919.00",$99.00,i
"SSD PNY CS900, 1TB, SATA III, 2.5'', 7mm",D7CS900-1TB-RB,$913.00,$669.00,$99.00,i
"Dell Mochila ES1520P para Laptop 15"", Negro",460-BCTJ,$603.00,$408.00,$99.00,i
"Teclado Gamer Ocelot Gaming OGMK03 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Negro (Español)",OGMK03,$499.00,$361.00,$99.00,i
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$793.00,$599.00,$99.00,i
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$282.00,$99.00,i
"SSD Adata FALCON NVMe, 1TB, PCI Express 3.0, M.2",AFALCON-1T-C,"$1,781.00","$1,259.00",$99.00,i
"Nexxt Solutions Foco LED Inteligente NHB-W310, WiFi, Luz Fria/Cálida, 4W, 400 Lúmenes, Ahorro de 87% vs Foco Tradicional 40W - 3 Piezas",NHB-W310 3PK,$720.00,$422.00,$99.00,i
"Epcom Micrófono Omnidireccional en Sensor de Humo, Alámbrico, 1000 Ohmios",MIC-602A,$321.00,$179.00,$99.00,i
"SSD XPG Spectrix S40G, 512GB, PCI Express 3.0, M.2",AS40G-512GT-C,$730.00,$549.00,$99.00,i
"Teclado Gamer Ocelot Gaming OGMK01 RGB, Teclado Mecánico, Switch Azul, Alámbrico, Negro (Español)",OGMK01,$569.00,$430.00,$99.00,i
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,293.00","$1,759.00",$159.00,i
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,719.00",$99.00,i
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$607.00,$435.00,$99.00,i
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$17,488.00","$12,549.00",$189.00,i
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,216.00","$1,609.00",$99.00,i
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,962.00","$3,979.00",$164.00,i
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,159.00",$99.00,i
"Immortal Gaming Gamepad para Celular IMCG01 con Ventiladores y Gatillos, Negro",IMCG01,$399.00,$194.00,$99.00,i
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,229.00","$1,339.00",$99.00,i
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,110.00","$1,829.00",$149.00,i
"Monitor Dell E1916HV LED 18.51'', HD, VGA, Negro",210-AGMG,"$1,791.00","$1,239.00",$149.00,i
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,178.00","$3,779.00",$99.00,i
"Procesador AMD Ryzen 7 5700X, S-AM4, 3.40GHz, 8-Core, 32MB L3 Cache - no incluye Disipador",100-100000926WOF,"$3,352.00","$2,909.00",$99.00,i
"Kit de Teclado y Mouse Cooler Master Devastator 3 Plus, Alámbrico, USB, Negro (Español)",GB-3001-KKMF1-LS,$652.00,$463.00,$99.00,i
"HP Docking Station 5TW10AA USB-C, 4x USB 3.0, 1x USB-C, 1x HDMI/2x DisplayPort/1x RJ-45, Negro",5TW10AA,"$4,282.00","$2,719.00",$99.00,i
"SSD Adata Premium NVMe, 2TB, PCI Express 4.0, M.2",APSFG-2T-CSUS,"$2,586.00","$1,829.00",$99.00,i
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$540.00,$406.00,$99.00,i
"Mousepad Gamer Ocelot Gaming OMP01, 35 x 25cm, Grosor 3mm, Negro",OMP01,$304.00,$128.00,$99.00,i
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$856.00,$669.00,$99.00,i
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,820.00","$1,359.00",$99.00,i
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,863.00","$1,409.00",$99.00,i
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$991.00,$649.00,$99.00,i
"SSD Samsung 980 NVMe, 500GB, PCI Express 3.0, M.2",MZ-V8V500B/AM,$834.00,$619.00,$99.00,i
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,761.00","$1,269.00",$99.00,i
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,912.00","$1,609.00",$99.00,i
"Teclado Logitech Mx Keys Mini, Inalámbrico, RF Wireless/Bluetooth, Rosa (Español)",920-010478,"$1,814.00","$1,229.00",$99.00,i
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,182.00","$2,309.00",$99.00,i
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,471.00","$1,179.00",$99.00,i
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$634.00,$495.00,$99.00,i
"Memoria RAM XPG Spectrix D60G Titanio RGB DDR4, 4133MHz, 8GB, Non-ECC, CL19, XMP, Gris",AX4U41338G19J-ST60,$736.00,$529.00,$99.00,i
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$4,024.00","$1,669.00",$99.00,i
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,286.00",$989.00,$99.00,i
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,435.00","$2,829.00",$99.00,i
"Memoria Flash SanDisk para Nintendo Switch, 256GB MicroSDXC Class 3 (U3)",DSQXAO-256G-GNCZN,$763.00,$509.00,$99.00,i
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,140.00","$2,779.00",$99.00,i
"Procesador Intel Core i5-11400F, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación - Rocket Lake)",BX8070811400F,"$2,688.00","$2,229.00",$99.00,i
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$595.00,$440.00,$99.00,i
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,682.00","$1,499.00",$99.00,i
"SSD Adata FALCON NVMe, 512GB, PCI Express 3.0, M.2",AFALCON-512G-C,$627.00,$509.00,$99.00,i
"Mouse Logitech Óptico MX Anywhere 3, Recargable, Inalámbrico, USB, 4000DPI, Negro",910-005992,"$1,493.00","$1,159.00",$99.00,i
"Mouse Gamer ASUS Óptico ROG KERIS P509, Alámbrico, USB, 16000DPI, Negro",90MP01R0-B0UA00,$916.00,$609.00,$99.00,i
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$7,999.00","$6,329.00",$99.00,i
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,557.00",$989.00,$99.00,i
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,894.00","$1,499.00",$99.00,i
"Kit Gamer 4 en 1 Naceb Back To The Wild Teclado + Mouse + Audífonos + Mousepad, Alámbrico, USB, Negro/Rojo (Español)",NA-0934,$721.00,$569.00,$99.00,i
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,327.00","$1,129.00",$99.00,i
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,359.00",$969.00,$99.00,i
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$816.00,$679.00,$99.00,i
"SSD Adata Ultimate SU800, 1TB, SATA III, 2.5'', 7mm",ASU800SS-1TT-C,"$1,474.00","$1,139.00",$99.00,i
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, Six-Core, 32MB L3 Cache - con Disipador Wraith Stealth",100-100000031SBX,"$2,188.00","$1,609.00",$99.00,i
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,597.00","$2,909.00",$99.00,i
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,210.00",$919.00,$99.00,i
"SSD Samsung 970 EVO Plus NVMe, 500GB, M.2, PCI Express 3.0",MZ-V7S500B/AM,$875.00,$709.00,$99.00,i
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Rojo",CGC-500/RD,"$3,864.00","$3,139.00",$319.00,i
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$2,129.00","$1,529.00",$144.00,i
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,914.00","$2,469.00",$99.00,i
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$394.00,$221.00,$99.00,i
"SSD XPG GAMMIX S41 3D NAND, 1TB, PCI Express, M.2",AGAMMIXS41-1T-C,$953.00,$809.00,$99.00,i
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,131.00",$779.00,$99.00,i
"Tarjeta de Video MSI NVIDIA GeForce RTX 3060 VENTUS 2X 12G OC, 12GB 192-bit GDDR6, PCI Express 4.0",GEFORCE RTX 3060 VENTUS 2X 12G OC,"$6,494.00","$5,579.00",$99.00,i
"SSD HP S650, 960GB, SATA III, 2.5""",345N0AA,$818.00,$629.00,$99.00,i
"Procesador AMD Ryzen 9 5950X, S-AM4, 3.40GHz, 8MB L3 Cache - no incluye Disipador",100-100000059WOF,"$8,997.00","$7,699.00",$99.00,i
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,670.00","$3,009.00",$319.00,i
"Tarjeta Madre MSI Micro ATX A320M-A PRO, S-AM4, AMD A320, HDMI, 32GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 3000",A320M-A PRO,$953.00,$839.00,$99.00,i
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,033.00",$869.00,$99.00,i
